Cell_type,Replicate,siRNA,Treatment,Intersection,HOUR_0 ,HOUR_5,HOUR_8,HOUR_18
Melanoma,2,Unstransfected,No_SDF1,4,644224,545611,447328,320933
Melanoma,2,Scramble,No_SDF1,1,675957,587716,499905,349057
Melanoma,2,Scramble,No_SDF1,2,637710,561134,464234,363081
Melanoma,2,Scramble,No_SDF1,3,583027,481496,381100,249547
Melanoma,2,Scramble,No_SDF1,4,577169,552519,480694,385360
Melanoma,2,CXCR4_siRNA,No_SDF1,1,575226,529157,444090,323310
Melanoma,2,CXCR4_siRNA,No_SDF1,2,590581,540605,440475,355492
Melanoma,2,CXCR4_siRNA,No_SDF1,3,567004,559851,456417,335553
Melanoma,2,CXCR4_siRNA,No_SDF1,4,556428,523649,457078,347981
Melanoma,2,Unstransfected,SDF1,1,532513,412118,254537,113596
Melanoma,2,Unstransfected,SDF1,2,554913,464181,335326,280612
Melanoma,2,Unstransfected,SDF1,3,553266,499646,412424,255533
Melanoma,2,Unstransfected,SDF1,4,532731,436037,353050,179813
Melanoma,2,Scramble,SDF1,1,537932,472605,400977,169028
Melanoma,2,Scramble,SDF1,2,606191,547098,431823,409911
Melanoma,2,Scramble,SDF1,3,615281,566337,509813,429720
Melanoma,2,Scramble,SDF1,4,564377,520553,450254,238980
Melanoma,2,CXCR4_siRNA,SDF1,1,618659,555394,403670,346863
Melanoma,2,CXCR4_siRNA,SDF1,2,611270,562204,500284,399095
Melanoma,2,CXCR4_siRNA,SDF1,3,524868,442457,402921,354965
Melanoma,2,CXCR4_siRNA,SDF1,4,545820,524611,497522,396858
Melanoma,3,Unstransfected,No_SDF1,1,513446,357531,193007,11016
Melanoma,3,Unstransfected,No_SDF1,2,529343,370823,175547,23469
Melanoma,3,Unstransfected,No_SDF1,3,495835,350657,234056,15351
Melanoma,3,Unstransfected,No_SDF1,4,504003,336424,169992,19732
Melanoma,3,Scramble,No_SDF1,1,514303,375949,204438,36229
Melanoma,3,Scramble,No_SDF1,2,538420,364008,173731,15297
Melanoma,3,Scramble,No_SDF1,3,505928,320050,255269,18317
Melanoma,3,Scramble,No_SDF1,4,513093,305485,127203,14330
Melanoma,3,CXCR4_siRNA,No_SDF1,1,444900,371424,245656,72094
Melanoma,3,CXCR4_siRNA,No_SDF1,2,454082,301036,159252,20120
Melanoma,3,CXCR4_siRNA,No_SDF1,3,411169,280396,202604,13403
Melanoma,3,CXCR4_siRNA,No_SDF1,4,533926,397444,308782,23663
Melanoma,3,Unstransfected,SDF1,1,517687,333272,195718,15655
Melanoma,3,Unstransfected,SDF1,2,519211,341485,347928,11227
Melanoma,3,Unstransfected,SDF1,3,545554,278548,211607,11784
Melanoma,3,Unstransfected,SDF1,4,542461,404007,295175,23073
Melanoma,3,Scramble,SDF1,1,508801,334388,240186,11599
Melanoma,3,Scramble,SDF1,2,504309,280908,99988,15192
Melanoma,3,Scramble,SDF1,3,490063,291486,112393,15896
Melanoma,3,Scramble,SDF1,4,529623,240213,16198,13592
Melanoma,3,CXCR4_siRNA,SDF1,1,583316,434583,390632,29559
Melanoma,3,CXCR4_siRNA,SDF1,2,617986,409677,333928,36079
Melanoma,3,CXCR4_siRNA,SDF1,3,541504,432730,305744,35055
Melanoma,3,CXCR4_siRNA,SDF1,4,594890,436265,331009,124086
Melanoma,4,Unstransfected,No_SDF1,1,495499,297662,275890,13999
Melanoma,4,Unstransfected,No_SDF1,2,506099,344639,200771,12172
Melanoma,4,Unstransfected,No_SDF1,3,473852,284653,152202,5487
Melanoma,4,Unstransfected,No_SDF1,4,493261,335690,209446,12502
Melanoma,4,Scramble,No_SDF1,1,518146,275137,136997,0
Melanoma,4,Scramble,No_SDF1,2,508146,339041,163473,11362
Melanoma,4,Scramble,No_SDF1,3,498880,382953,163371,19039
Melanoma,4,Scramble,No_SDF1,4,493163,363701,122177,10934
Melanoma,4,CXCR4_siRNA,No_SDF1,1,493275,391360,309052,68294
Melanoma,4,CXCR4_siRNA,No_SDF1,2,529570,389290,377571,78239
Melanoma,4,CXCR4_siRNA,No_SDF1,3,508902,423334,320641,42698
Melanoma,4,CXCR4_siRNA,No_SDF1,4,520773,425556,285482,30328
Melanoma,4,Unstransfected,SDF1,1,473167,328539,129068,13220
Melanoma,4,Unstransfected,SDF1,2,434499,269417,123148,11214
Melanoma,4,Unstransfected,SDF1,3,451099,282158,113000,13664
Melanoma,4,Unstransfected,SDF1,4,440803,257911,44263,0
Melanoma,4,Scramble,SDF1,1,500751,271713,131446,17376
Melanoma,4,Scramble,SDF1,2,500128,314420,137031,12347
Melanoma,4,Scramble,SDF1,3,493728,280554,136183,0
Melanoma,4,Scramble,SDF1,4,492457,275903,141492,0
Melanoma,4,CXCR4_siRNA,SDF1,1,513309,445597,232875,49846
Melanoma,4,CXCR4_siRNA,SDF1,2,537985,375623,258191,84163
Melanoma,4,CXCR4_siRNA,SDF1,3,532233,366413,318852,61026
Melanoma,4,CXCR4_siRNA,SDF1,4,543240,440652,330366,60354
Melanoma,1,Unstransfected,No_SDF1,1,438366,318823,250307,29190
Melanoma,1,Unstransfected,No_SDF1,2,454001,311183,232064,21442
Melanoma,1,Unstransfected,No_SDF1,3,454571,324458,254147,24244
Melanoma,1,Unstransfected,No_SDF1,4,424282,327689,265201,52339
Melanoma,1,Scramble,No_SDF1,1,460823,338447,227087,59955
Melanoma,1,Scramble,No_SDF1,2,509274,387102,297987,29168
Melanoma,1,Scramble,No_SDF1,3,477795,343312,201757,34917
Melanoma,1,Scramble,No_SDF1,4,507497,343103,257734,26664
Melanoma,1,CXCR47_siRNA,No_SDF1,1,409741,257729,198516,15921
Melanoma,1,CXCR47_siRNA,No_SDF1,2,445027,332562,206659,18456
Melanoma,1,CXCR47_siRNA,No_SDF1,3,418321,286709,208010,17585
Melanoma,1,CXCR47_siRNA,No_SDF1,4,447480,300933,107399,19467
Melanoma,1,Unstransfected,SDF1,1,474880,380671,300779,42393
Melanoma,1,Unstransfected,SDF1,2,456164,366075,328169,96737
Melanoma,1,Unstransfected,SDF1,3,460925,304872,198129,31733
Melanoma,1,Unstransfected,SDF1,4,496179,323542,240626,21529
Melanoma,1,Scramble,SDF1,1,517864,314506,251068,64657
Melanoma,1,Scramble,SDF1,2,501631,380117,293123,66730
Melanoma,1,Scramble,SDF1,3,480710,297056,242770,13626
Melanoma,1,Scramble,SDF1,4,503684,306525,235339,38201
Melanoma,1,CXCR47_siRNA,SDF1,1,396102,208228,158142,20394
Melanoma,1,CXCR47_siRNA,SDF1,2,439582,261912,132981,13568
Melanoma,1,CXCR47_siRNA,SDF1,3,368172,159384,28409,10724
Melanoma,1,CXCR47_siRNA,SDF1,4,440278,272444,208643,23705
Melanoma,2,Unstransfected,No_SDF1,1,533460,456709,424741,172925
Melanoma,2,Unstransfected,No_SDF1,2,563623,441299,309137,71775
Melanoma,2,Unstransfected,No_SDF1,3,561670,439181,362753,89047
Melanoma,2,Unstransfected,No_SDF1,4,569912,450218,345272,57309
Melanoma,2,Scramble,No_SDF1,1,572988,437866,328940,60127
Melanoma,2,Scramble,No_SDF1,2,579314,438147,354824,73434
Melanoma,2,Scramble,No_SDF1,3,550901,388485,301755,75900
Melanoma,2,Scramble,No_SDF1,4,583504,422997,336497,31552
Melanoma,2,CXCR47_siRNA,No_SDF1,1,493571,330173,249628,28197
