"","Cell_type","Replicate","siRNA","Treatment","Intersection","Time_Period","Values"
"113","Melanocytes",2,"Scramble","No_SDF1",1,"HOUR_0",645676
"114","Melanocytes",2,"Scramble","No_SDF1",1,"HOUR_5",531480
"115","Melanocytes",2,"Scramble","No_SDF1",1,"HOUR_8",397890
"116","Melanocytes",2,"Scramble","No_SDF1",1,"HOUR_18",192132
"117","Melanocytes",2,"Scramble","No_SDF1",2,"HOUR_0",581179
"118","Melanocytes",2,"Scramble","No_SDF1",2,"HOUR_5",444083
"119","Melanocytes",2,"Scramble","No_SDF1",2,"HOUR_8",362874
"120","Melanocytes",2,"Scramble","No_SDF1",2,"HOUR_18",170394
"121","Melanocytes",2,"Scramble","No_SDF1",3,"HOUR_0",616074
"122","Melanocytes",2,"Scramble","No_SDF1",3,"HOUR_5",438864
"123","Melanocytes",2,"Scramble","No_SDF1",3,"HOUR_8",357154
"124","Melanocytes",2,"Scramble","No_SDF1",3,"HOUR_18",154474
"125","Melanocytes",2,"Scramble","No_SDF1",4,"HOUR_0",675151
"126","Melanocytes",2,"Scramble","No_SDF1",4,"HOUR_5",501788
"127","Melanocytes",2,"Scramble","No_SDF1",4,"HOUR_8",392181
"128","Melanocytes",2,"Scramble","No_SDF1",4,"HOUR_18",142356
"129","Melanocytes",2,"CXCR7_siRNA","No_SDF1",1,"HOUR_0",582801
"130","Melanocytes",2,"CXCR7_siRNA","No_SDF1",1,"HOUR_5",463125
"131","Melanocytes",2,"CXCR7_siRNA","No_SDF1",1,"HOUR_8",325648
"132","Melanocytes",2,"CXCR7_siRNA","No_SDF1",1,"HOUR_18",148181
"133","Melanocytes",2,"CXCR7_siRNA","No_SDF1",2,"HOUR_0",654967
"134","Melanocytes",2,"CXCR7_siRNA","No_SDF1",2,"HOUR_5",536909
"135","Melanocytes",2,"CXCR7_siRNA","No_SDF1",2,"HOUR_8",347837
"136","Melanocytes",2,"CXCR7_siRNA","No_SDF1",2,"HOUR_18",106952
"137","Melanocytes",2,"CXCR7_siRNA","No_SDF1",3,"HOUR_0",637684
"138","Melanocytes",2,"CXCR7_siRNA","No_SDF1",3,"HOUR_5",478732
"139","Melanocytes",2,"CXCR7_siRNA","No_SDF1",3,"HOUR_8",374102
"140","Melanocytes",2,"CXCR7_siRNA","No_SDF1",3,"HOUR_18",187960
"141","Melanocytes",2,"CXCR7_siRNA","No_SDF1",4,"HOUR_0",716803
"142","Melanocytes",2,"CXCR7_siRNA","No_SDF1",4,"HOUR_5",515540
"143","Melanocytes",2,"CXCR7_siRNA","No_SDF1",4,"HOUR_8",387198
"144","Melanocytes",2,"CXCR7_siRNA","No_SDF1",4,"HOUR_18",162388
"145","Melanocytes",2,"Unstransfected","SDF1",1,"HOUR_0",621923
"146","Melanocytes",2,"Unstransfected","SDF1",1,"HOUR_5",545391
"147","Melanocytes",2,"Unstransfected","SDF1",1,"HOUR_8",518755
"148","Melanocytes",2,"Unstransfected","SDF1",1,"HOUR_18",265283
"149","Melanocytes",2,"Unstransfected","SDF1",2,"HOUR_0",648270
"150","Melanocytes",2,"Unstransfected","SDF1",2,"HOUR_5",548773
"151","Melanocytes",2,"Unstransfected","SDF1",2,"HOUR_8",466637
"152","Melanocytes",2,"Unstransfected","SDF1",2,"HOUR_18",260140
"153","Melanocytes",2,"Unstransfected","SDF1",3,"HOUR_0",658600
"154","Melanocytes",2,"Unstransfected","SDF1",3,"HOUR_5",494738
"155","Melanocytes",2,"Unstransfected","SDF1",3,"HOUR_8",307722
"156","Melanocytes",2,"Unstransfected","SDF1",3,"HOUR_18",257133
"157","Melanocytes",2,"Unstransfected","SDF1",4,"HOUR_0",688027
"158","Melanocytes",2,"Unstransfected","SDF1",4,"HOUR_5",582678
"159","Melanocytes",2,"Unstransfected","SDF1",4,"HOUR_8",476106
"160","Melanocytes",2,"Unstransfected","SDF1",4,"HOUR_18",250193
"161","Melanocytes",2,"Scramble","SDF1",1,"HOUR_0",642683
"162","Melanocytes",2,"Scramble","SDF1",1,"HOUR_5",421235
"163","Melanocytes",2,"Scramble","SDF1",1,"HOUR_8",342460
"164","Melanocytes",2,"Scramble","SDF1",1,"HOUR_18",140179
"165","Melanocytes",2,"Scramble","SDF1",2,"HOUR_0",649605
"166","Melanocytes",2,"Scramble","SDF1",2,"HOUR_5",517189
"167","Melanocytes",2,"Scramble","SDF1",2,"HOUR_8",427960
"168","Melanocytes",2,"Scramble","SDF1",2,"HOUR_18",161616
"169","Melanocytes",2,"Scramble","SDF1",3,"HOUR_0",624496
"170","Melanocytes",2,"Scramble","SDF1",3,"HOUR_5",407816
"171","Melanocytes",2,"Scramble","SDF1",3,"HOUR_8",347809
"172","Melanocytes",2,"Scramble","SDF1",3,"HOUR_18",152319
"173","Melanocytes",2,"Scramble","SDF1",4,"HOUR_0",670445
"174","Melanocytes",2,"Scramble","SDF1",4,"HOUR_5",475915
