Cell_type,Replicate,siRNA,Treatment,Intersection,HOUR_0,HOUR_5,HOUR_8,HOUR_18
Melanocytes,2,Unstransfected,SDF1,1,818409,725294,691581,489851
Melanocytes,2,Unstransfected,SDF1,2,776388,654572,547589,404471
Melanocytes,2,Unstransfected,SDF1,3,893641,836376,643009,473751
Melanocytes,2,Unstransfected,SDF1,4,942512,882521,661131,442227
Melanocytes,2,Scramble,SDF1,1,767414,668729,659914,523301
Melanocytes,2,Scramble,SDF1,2,745882,708227,685133,534630
Melanocytes,2,Scramble,SDF1,3,699088,642765,614500,453554
Melanocytes,2,Scramble,SDF1,4,689712,608161,574956,357832
Melanocytes,2,CXCR4_siRNA,SDF1,1,595974,584505,434168,232127
Melanocytes,2,CXCR4_siRNA,SDF1,2,556744,506098,447909,229484
Melanocytes,2,CXCR4_siRNA,SDF1,3,544373,485521,402932,297595
Melanocytes,2,CXCR4_siRNA,SDF1,4,596190,513485,463333,299057
Melanocytes,3,Unstransfected,No_SDF1,1,657273,604027,491763,307192
Melanocytes,3,Unstransfected,No_SDF1,2,644954,557187,455445,392602
Melanocytes,3,Unstransfected,No_SDF1,3,618895,565914,436317,370216
Melanocytes,3,Unstransfected,No_SDF1,4,645398,596556,489285,283208
Melanocytes,3,Scramble,No_SDF1,1,575110,487778,409772,289206
Melanocytes,3,Scramble,No_SDF1,2,658848,411533,332860,192768
Melanocytes,3,Scramble,No_SDF1,3,503106,446496,361955,184695
Melanocytes,3,Scramble,No_SDF1,4,606014,513961,368963,297947
Melanocytes,3,CXCR4_siRNA,No_SDF1,1,621397,510412,491213,299464
Melanocytes,3,CXCR4_siRNA,No_SDF1,2,647296,463657,452582,345337
Melanocytes,3,CXCR4_siRNA,No_SDF1,3,647954,522652,412857,339520
Melanocytes,3,CXCR4_siRNA,No_SDF1,4,604561,481991,386882,330486
Melanocytes,3,Unstransfected,SDF1,1,624388,589706,505833,348394
Melanocytes,3,Unstransfected,SDF1,2,643085,503935,493171,334964
Melanocytes,3,Unstransfected,SDF1,3,599239,552429,516418,355263
Melanocytes,3,Unstransfected,SDF1,4,688249,603212,508658,376989
Melanocytes,3,Scramble,SDF1,1,627836,568176,464339,317811
Melanocytes,3,Scramble,SDF1,2,675503,594135,478575,372466
